project_code,project_name,sector,ministry,implementing_agency,state,original_cost,revised_cost,expenditure,physical_progress,sanction_date,original_doc,revised_doc,snapshot_date,target_final_delay_months,target_cost_overrun_pct,target_is_high_risk,snapshot_year_month
PAIM-1002,Project PAIM-1002 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Telangana,4443.86,4443.86,4437.43,100.0,2003-05-01,2007-06-09,2007-06-09,2008-02-04,0,4.8,0,2008_02
PAIM-1002,Project PAIM-1002 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Telangana,4443.86,4443.86,3823.13,100.0,2003-05-01,2007-06-09,2007-06-09,2008-10-01,0,4.8,0,2008_10
PAIM-1002,Project PAIM-1002 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Telangana,4443.86,4443.86,4443.86,100.0,2003-05-01,2007-06-09,2007-06-09,2009-05-29,0,4.8,0,2009_05
PAIM-1002,Project PAIM-1002 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Telangana,4443.86,4443.86,4122.28,100.0,2003-05-01,2007-06-09,2007-06-09,2010-01-24,0,4.8,0,2010_01
PAIM-1002,Project PAIM-1002 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Telangana,4443.86,4443.86,4443.86,100.0,2003-05-01,2007-06-09,2007-06-09,2010-09-21,0,4.8,0,2010_09
PAIM-1002,Project PAIM-1002 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Telangana,4443.86,4443.86,4192.84,100.0,2003-05-01,2007-06-09,2007-06-09,2011-05-19,0,4.8,0,2011_05
PAIM-1003,Project PAIM-1003 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,GAIL,Karnataka,1693.53,1693.53,170.41,10.0,2018-10-01,2022-03-14,2022-03-14,2019-07-28,24,20.98,1,2019_07
PAIM-1003,Project PAIM-1003 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,GAIL,Karnataka,1693.53,1831.68,473.32,22.7,2018-10-01,2022-03-14,2023-07-30,2020-03-24,24,20.98,1,2020_03
PAIM-1003,Project PAIM-1003 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,GAIL,Karnataka,1693.53,1910.62,803.19,38.1,2018-10-01,2022-03-14,2023-07-30,2020-11-19,24,20.98,1,2020_11
PAIM-1003,Project PAIM-1003 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,GAIL,Karnataka,1693.53,1989.56,1188.27,55.6,2018-10-01,2022-03-14,2023-07-30,2021-07-17,24,20.98,1,2021_07
PAIM-1003,Project PAIM-1003 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,GAIL,Karnataka,1693.53,2048.76,1548.65,74.7,2018-10-01,2022-03-14,2023-07-30,2022-03-14,24,20.98,1,2022_03
PAIM-1003,Project PAIM-1003 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,GAIL,Karnataka,1693.53,2048.76,1538.72,73.2,2018-10-01,2022-03-14,2023-07-30,2022-11-09,24,20.98,1,2022_11
PAIM-1003,Project PAIM-1003 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,GAIL,Karnataka,1693.53,2048.76,1599.28,68.5,2018-10-01,2022-03-14,2023-07-30,2023-07-07,24,20.98,1,2023_07
PAIM-1003,Project PAIM-1003 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,GAIL,Karnataka,1693.53,2048.76,1349.08,63.8,2018-10-01,2022-03-14,2023-07-30,2024-03-03,24,20.98,1,2024_03
PAIM-1003,Project PAIM-1003 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,GAIL,Karnataka,1693.53,2048.76,1146.65,60.0,2018-10-01,2022-03-14,2023-07-30,2024-10-29,24,20.98,1,2024_10
PAIM-1003,Project PAIM-1003 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,GAIL,Karnataka,1693.53,2048.76,1154.13,60.0,2018-10-01,2022-03-14,2023-07-30,2025-06-26,24,20.98,1,2025_06
PAIM-1003,Project PAIM-1003 - Gas Pipeline Expansion,Water Resources,Ministry of Jal Shakti,GAIL,Karnataka,1693.53,2048.76,1105.81,60.0,2018-10-01,2022-03-14,2023-07-30,2026-02-21,24,20.98,1,2026_02
PAIM-1004,Project PAIM-1004 - Expressway,Telecommunications,Ministry of Communications,CPWD,Madhya Pradesh,3447.26,3447.26,1336.9,37.1,2008-08-01,2010-01-23,2010-01-23,2009-05-28,13,29.69,1,2009_05
PAIM-1004,Project PAIM-1004 - Expressway,Telecommunications,Ministry of Communications,CPWD,Madhya Pradesh,3447.26,3845.34,3662.46,84.7,2008-08-01,2010-01-23,2010-10-23,2010-01-23,13,29.69,1,2010_01
PAIM-1004,Project PAIM-1004 - Expressway,Telecommunications,Ministry of Communications,CPWD,Madhya Pradesh,3447.26,4072.82,3924.45,87.2,2008-08-01,2010-01-23,2010-10-23,2010-09-20,13,29.69,1,2010_09
PAIM-1004,Project PAIM-1004 - Expressway,Telecommunications,Ministry of Communications,CPWD,Madhya Pradesh,3447.26,4300.3,3493.95,82.5,2008-08-01,2010-01-23,2010-10-23,2011-05-18,13,29.69,1,2011_05
PAIM-1004,Project PAIM-1004 - Expressway,Telecommunications,Ministry of Communications,CPWD,Madhya Pradesh,3447.26,4470.9,3056.17,77.8,2008-08-01,2010-01-23,2010-10-23,2012-01-13,13,29.69,1,2012_01
PAIM-1004,Project PAIM-1004 - Expressway,Telecommunications,Ministry of Communications,CPWD,Madhya Pradesh,3447.26,4470.9,3145.87,73.2,2008-08-01,2010-01-23,2010-10-23,2012-09-09,13,29.69,1,2012_09
PAIM-1004,Project PAIM-1004 - Expressway,Telecommunications,Ministry of Communications,CPWD,Madhya Pradesh,3447.26,4470.9,3217.69,68.5,2008-08-01,2010-01-23,2010-10-23,2013-05-07,13,29.69,1,2013_05
PAIM-1004,Project PAIM-1004 - Expressway,Telecommunications,Ministry of Communications,CPWD,Madhya Pradesh,3447.26,4470.9,2994.42,63.8,2008-08-01,2010-01-23,2010-10-23,2014-01-02,13,29.69,1,2014_01
PAIM-1004,Project PAIM-1004 - Expressway,Telecommunications,Ministry of Communications,CPWD,Madhya Pradesh,3447.26,4470.9,2756.01,60.0,2008-08-01,2010-01-23,2010-10-23,2014-08-30,13,29.69,1,2014_08
PAIM-1004,Project PAIM-1004 - Expressway,Telecommunications,Ministry of Communications,CPWD,Madhya Pradesh,3447.26,4470.9,2501.24,60.0,2008-08-01,2010-01-23,2010-10-23,2015-04-27,13,29.69,1,2015_04
PAIM-1004,Project PAIM-1004 - Expressway,Telecommunications,Ministry of Communications,CPWD,Madhya Pradesh,3447.26,4470.9,2731.83,60.0,2008-08-01,2010-01-23,2010-10-23,2015-12-23,13,29.69,1,2015_12
PAIM-1004,Project PAIM-1004 - Expressway,Telecommunications,Ministry of Communications,CPWD,Madhya Pradesh,3447.26,4470.9,2588.32,60.0,2008-08-01,2010-01-23,2010-10-23,2016-08-19,13,29.69,1,2016_08
PAIM-1005,Project PAIM-1005 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Maharashtra,6176.44,6176.44,2017.03,32.9,2023-07-01,2025-02-20,2025-02-20,2024-04-26,7,20.68,1,2024_04
PAIM-1005,Project PAIM-1005 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Maharashtra,6176.44,6673.06,5106.6,75.1,2023-07-01,2025-02-20,2025-07-16,2024-12-22,7,20.68,1,2024_12
PAIM-1005,Project PAIM-1005 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Maharashtra,6176.44,6956.85,6687.33,90.8,2023-07-01,2025-02-20,2025-07-16,2025-08-19,7,20.68,1,2025_08
PAIM-1005,Project PAIM-1005 - Bridge Construction,Water Resources,Ministry of Jal Shakti,NTPC,Maharashtra,6176.44,7240.63,5650.04,87.5,2023-07-01,2025-02-20,2025-07-16,2026-04-16,7,20.68,1,2026_04
PAIM-1006,Project PAIM-1006 - Bridge Construction,Coal,Ministry of Coal,NHPC,Andhra Pradesh,2060.46,2060.46,132.05,7.0,2007-11-01,2012-05-08,2012-05-08,2008-08-27,16,12.99,1,2008_08
PAIM-1006,Project PAIM-1006 - Bridge Construction,Coal,Ministry of Coal,NHPC,Andhra Pradesh,2060.46,2164.54,335.54,15.9,2007-11-01,2012-05-08,2013-04-09,2009-04-24,16,12.99,1,2009_04
PAIM-1006,Project PAIM-1006 - Bridge Construction,Coal,Ministry of Coal,NHPC,Andhra Pradesh,2060.46,2224.02,662.09,26.7,2007-11-01,2012-05-08,2013-04-09,2009-12-20,16,12.99,1,2009_12
PAIM-1006,Project PAIM-1006 - Bridge Construction,Coal,Ministry of Coal,NHPC,Andhra Pradesh,2060.46,2283.49,843.63,39.0,2007-11-01,2012-05-08,2013-04-09,2010-08-17,16,12.99,1,2010_08
PAIM-1006,Project PAIM-1006 - Bridge Construction,Coal,Ministry of Coal,NHPC,Andhra Pradesh,2060.46,2328.1,1081.62,52.4,2007-11-01,2012-05-08,2013-04-09,2011-04-14,16,12.99,1,2011_04
PAIM-1006,Project PAIM-1006 - Bridge Construction,Coal,Ministry of Coal,NHPC,Andhra Pradesh,2060.46,2328.1,1490.35,66.9,2007-11-01,2012-05-08,2013-04-09,2011-12-10,16,12.99,1,2011_12
PAIM-1006,Project PAIM-1006 - Bridge Construction,Coal,Ministry of Coal,NHPC,Andhra Pradesh,2060.46,2328.1,2024.49,77.5,2007-11-01,2012-05-08,2013-04-09,2012-08-06,16,12.99,1,2012_08
PAIM-1006,Project PAIM-1006 - Bridge Construction,Coal,Ministry of Coal,NHPC,Andhra Pradesh,2060.46,2328.1,1609.36,74.2,2007-11-01,2012-05-08,2013-04-09,2013-04-03,16,12.99,1,2013_04
PAIM-1006,Project PAIM-1006 - Bridge Construction,Coal,Ministry of Coal,NHPC,Andhra Pradesh,2060.46,2328.1,1721.33,70.8,2007-11-01,2012-05-08,2013-04-09,2013-11-29,16,12.99,1,2013_11
PAIM-1006,Project PAIM-1006 - Bridge Construction,Coal,Ministry of Coal,NHPC,Andhra Pradesh,2060.46,2328.1,1335.99,67.5,2007-11-01,2012-05-08,2013-04-09,2014-07-27,16,12.99,1,2014_07
PAIM-1006,Project PAIM-1006 - Bridge Construction,Coal,Ministry of Coal,NHPC,Andhra Pradesh,2060.46,2328.1,1428.53,64.2,2007-11-01,2012-05-08,2013-04-09,2015-03-24,16,12.99,1,2015_03
PAIM-1006,Project PAIM-1006 - Bridge Construction,Coal,Ministry of Coal,NHPC,Andhra Pradesh,2060.46,2328.1,1332.59,60.8,2007-11-01,2012-05-08,2013-04-09,2015-11-19,16,12.99,1,2015_11
PAIM-1007,Project PAIM-1007 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,Bihar,4198.33,4198.33,1300.63,31.9,2001-03-01,2003-10-17,2003-10-17,2001-12-26,0,1.9,0,2001_12
PAIM-1007,Project PAIM-1007 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,Bihar,4198.33,4198.33,2066.08,56.6,2001-03-01,2003-10-17,2003-10-17,2002-08-23,0,1.9,0,2002_08
PAIM-1007,Project PAIM-1007 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,Bihar,4198.33,4198.33,3114.6,80.1,2001-03-01,2003-10-17,2003-10-17,2003-04-20,0,1.9,0,2003_04
PAIM-1007,Project PAIM-1007 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,Bihar,4198.33,4198.33,3879.52,100.0,2001-03-01,2003-10-17,2003-10-17,2003-12-16,0,1.9,0,2003_12
PAIM-1007,Project PAIM-1007 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,Bihar,4198.33,4198.33,4198.33,100.0,2001-03-01,2003-10-17,2003-10-17,2004-08-12,0,1.9,0,2004_08
PAIM-1007,Project PAIM-1007 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,Bihar,4198.33,4198.33,4198.33,100.0,2001-03-01,2003-10-17,2003-10-17,2005-04-09,0,1.9,0,2005_04
PAIM-1007,Project PAIM-1007 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,Bihar,4198.33,4198.33,3755.1,100.0,2001-03-01,2003-10-17,2003-10-17,2005-12-05,0,1.9,0,2005_12
PAIM-1007,Project PAIM-1007 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,Bihar,4198.33,4198.33,4198.33,100.0,2001-03-01,2003-10-17,2003-10-17,2006-08-02,0,1.9,0,2006_08
PAIM-1007,Project PAIM-1007 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,Bihar,4198.33,4198.33,3904.59,100.0,2001-03-01,2003-10-17,2003-10-17,2007-03-30,0,1.9,0,2007_03
PAIM-1007,Project PAIM-1007 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,Bihar,4198.33,4198.33,4198.33,100.0,2001-03-01,2003-10-17,2003-10-17,2007-11-25,0,1.9,0,2007_11
PAIM-1007,Project PAIM-1007 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,Bihar,4198.33,4198.33,4086.28,100.0,2001-03-01,2003-10-17,2003-10-17,2008-07-22,0,1.9,0,2008_07
PAIM-1007,Project PAIM-1007 - Gas Pipeline Expansion,Urban Infrastructure & Metro,Ministry of Housing and Urban Affairs,NHPC,Bihar,4198.33,4198.33,3610.21,100.0,2001-03-01,2003-10-17,2003-10-17,2009-03-19,0,1.9,0,2009_03
PAIM-1008,Project PAIM-1008 - Expressway,Railways,Ministry of Railways,NTPC,Haryana,1359.87,1359.87,43.1,3.3,2012-10-01,2018-08-01,2018-08-01,2013-07-28,36,24.84,1,2013_07
PAIM-1008,Project PAIM-1008 - Expressway,Railways,Ministry of Railways,NTPC,Haryana,1359.87,1491.24,114.73,7.4,2012-10-01,2018-08-01,2020-08-26,2014-03-25,36,24.84,1,2014_03
PAIM-1008,Project PAIM-1008 - Expressway,Railways,Ministry of Railways,NTPC,Haryana,1359.87,1566.31,210.15,12.9,2012-10-01,2018-08-01,2020-08-26,2014-11-20,36,24.84,1,2014_11
PAIM-1008,Project PAIM-1008 - Expressway,Railways,Ministry of Railways,NTPC,Haryana,1359.87,1641.38,321.85,19.4,2012-10-01,2018-08-01,2020-08-26,2015-07-18,36,24.84,1,2015_07
PAIM-1008,Project PAIM-1008 - Expressway,Railways,Ministry of Railways,NTPC,Haryana,1359.87,1697.68,399.06,26.8,2012-10-01,2018-08-01,2020-08-26,2016-03-14,36,24.84,1,2016_03
PAIM-1008,Project PAIM-1008 - Expressway,Railways,Ministry of Railways,NTPC,Haryana,1359.87,1697.68,652.09,34.9,2012-10-01,2018-08-01,2020-08-26,2016-11-09,36,24.84,1,2016_11
PAIM-1008,Project PAIM-1008 - Expressway,Railways,Ministry of Railways,NTPC,Haryana,1359.87,1697.68,702.0,43.7,2012-10-01,2018-08-01,2020-08-26,2017-07-07,36,24.84,1,2017_07
PAIM-1008,Project PAIM-1008 - Expressway,Railways,Ministry of Railways,NTPC,Haryana,1359.87,1697.68,815.15,53.0,2012-10-01,2018-08-01,2020-08-26,2018-03-04,36,24.84,1,2018_03
PAIM-1008,Project PAIM-1008 - Expressway,Railways,Ministry of Railways,NTPC,Haryana,1359.87,1697.68,878.28,60.0,2012-10-01,2018-08-01,2020-08-26,2018-10-30,36,24.84,1,2018_10
PAIM-1008,Project PAIM-1008 - Expressway,Railways,Ministry of Railways,NTPC,Haryana,1359.87,1697.68,1046.38,60.0,2012-10-01,2018-08-01,2020-08-26,2019-06-27,36,24.84,1,2019_06
PAIM-1008,Project PAIM-1008 - Expressway,Railways,Ministry of Railways,NTPC,Haryana,1359.87,1697.68,1072.87,60.0,2012-10-01,2018-08-01,2020-08-26,2020-02-22,36,24.84,1,2020_02
PAIM-1008,Project PAIM-1008 - Expressway,Railways,Ministry of Railways,NTPC,Haryana,1359.87,1697.68,870.89,60.0,2012-10-01,2018-08-01,2020-08-26,2020-10-19,36,24.84,1,2020_10
PAIM-1009,Project PAIM-1009 - Thermal Power Unit,Telecommunications,Ministry of Communications,NTPC,Karnataka,5537.19,5537.19,468.2,7.5,2020-09-01,2025-03-09,2025-03-09,2021-06-28,18,5.59,1,2021_06
PAIM-1009,Project PAIM-1009 - Thermal Power Unit,Telecommunications,Ministry of Communications,NTPC,Karnataka,5537.19,5657.53,1076.95,17.1,2020-09-01,2025-03-09,2026-03-22,2022-02-23,18,5.59,1,2022_02
PAIM-1009,Project PAIM-1009 - Thermal Power Unit,Telecommunications,Ministry of Communications,NTPC,Karnataka,5537.19,5726.3,1513.48,28.5,2020-09-01,2025-03-09,2026-03-22,2022-10-21,18,5.59,1,2022_10
PAIM-1009,Project PAIM-1009 - Thermal Power Unit,Telecommunications,Ministry of Communications,NTPC,Karnataka,5537.19,5795.07,2520.38,41.5,2020-09-01,2025-03-09,2026-03-22,2023-06-18,18,5.59,1,2023_06
PAIM-1009,Project PAIM-1009 - Thermal Power Unit,Telecommunications,Ministry of Communications,NTPC,Karnataka,5537.19,5846.64,3560.09,55.6,2020-09-01,2025-03-09,2026-03-22,2024-02-13,18,5.59,1,2024_02
PAIM-1009,Project PAIM-1009 - Thermal Power Unit,Telecommunications,Ministry of Communications,NTPC,Karnataka,5537.19,5846.64,4202.03,70.7,2020-09-01,2025-03-09,2026-03-22,2024-10-10,18,5.59,1,2024_10
PAIM-1009,Project PAIM-1009 - Thermal Power Unit,Telecommunications,Ministry of Communications,NTPC,Karnataka,5537.19,5846.64,4836.89,82.0,2020-09-01,2025-03-09,2026-03-22,2025-06-07,18,5.59,1,2025_06
PAIM-1009,Project PAIM-1009 - Thermal Power Unit,Telecommunications,Ministry of Communications,NTPC,Karnataka,5537.19,5846.64,4277.32,79.3,2020-09-01,2025-03-09,2026-03-22,2026-02-02,18,5.59,1,2026_02
PAIM-1010,Project PAIM-1010 - Gas Pipeline Expansion,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,Coal India Limited,Gujarat,7520.01,7520.01,1038.96,12.5,2023-09-01,2026-05-18,2026-05-18,2024-06-27,35,49.29,1,2024_06
PAIM-1010,Project PAIM-1010 - Gas Pipeline Expansion,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,Coal India Limited,Gujarat,7520.01,8961.36,2857.37,28.2,2023-09-01,2026-05-18,2028-05-22,2025-02-22,35,49.29,1,2025_02
PAIM-1010,Project PAIM-1010 - Gas Pipeline Expansion,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,Coal India Limited,Gujarat,7520.01,9784.99,5066.98,47.7,2023-09-01,2026-05-18,2028-05-22,2025-10-20,35,49.29,1,2025_10
PAIM-1010,Project PAIM-1010 - Gas Pipeline Expansion,Petroleum & Natural Gas,Ministry of Petroleum and Natural Gas,Coal India Limited,Gujarat,7520.01,10608.63,7802.52,70.0,2023-09-01,2026-05-18,2028-05-22,2026-06-17,35,49.29,1,2026_06
PAIM-1011,Project PAIM-1011 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,CPWD,Tamil Nadu,8280.09,8280.09,725.78,9.7,2018-02-01,2021-09-13,2021-09-13,2018-11-28,13,16.37,1,2018_11
PAIM-1011,Project PAIM-1011 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,CPWD,Tamil Nadu,8280.09,8807.27,1859.98,22.0,2018-02-01,2021-09-13,2022-06-13,2019-07-26,13,16.37,1,2019_07
PAIM-1011,Project PAIM-1011 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,CPWD,Tamil Nadu,8280.09,9108.51,3617.02,37.0,2018-02-01,2021-09-13,2022-06-13,2020-03-22,13,16.37,1,2020_03
PAIM-1011,Project PAIM-1011 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,CPWD,Tamil Nadu,8280.09,9409.75,5397.99,53.8,2018-02-01,2021-09-13,2022-06-13,2020-11-17,13,16.37,1,2020_11
PAIM-1011,Project PAIM-1011 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,CPWD,Tamil Nadu,8280.09,9635.69,6556.37,72.2,2018-02-01,2021-09-13,2022-06-13,2021-07-15,13,16.37,1,2021_07
PAIM-1011,Project PAIM-1011 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,CPWD,Tamil Nadu,8280.09,9635.69,7514.17,77.0,2018-02-01,2021-09-13,2022-06-13,2022-03-12,13,16.37,1,2022_03
PAIM-1011,Project PAIM-1011 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,CPWD,Tamil Nadu,8280.09,9635.69,7052.65,73.0,2018-02-01,2021-09-13,2022-06-13,2022-11-07,13,16.37,1,2022_11
PAIM-1011,Project PAIM-1011 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,CPWD,Tamil Nadu,8280.09,9635.69,6920.55,69.0,2018-02-01,2021-09-13,2022-06-13,2023-07-05,13,16.37,1,2023_07
PAIM-1011,Project PAIM-1011 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,CPWD,Tamil Nadu,8280.09,9635.69,5794.33,65.0,2018-02-01,2021-09-13,2022-06-13,2024-03-01,13,16.37,1,2024_03
PAIM-1011,Project PAIM-1011 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,CPWD,Tamil Nadu,8280.09,9635.69,6036.24,61.0,2018-02-01,2021-09-13,2022-06-13,2024-10-27,13,16.37,1,2024_10
PAIM-1011,Project PAIM-1011 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,CPWD,Tamil Nadu,8280.09,9635.69,6612.02,60.0,2018-02-01,2021-09-13,2022-06-13,2025-06-24,13,16.37,1,2025_06
PAIM-1011,Project PAIM-1011 - Gas Pipeline Expansion,Power & Renewable Energy,Ministry of Power,CPWD,Tamil Nadu,8280.09,9635.69,5758.42,60.0,2018-02-01,2021-09-13,2022-06-13,2026-02-19,13,16.37,1,2026_02
PAIM-1012,Project PAIM-1012 - Thermal Power Unit,Power & Renewable Energy,Ministry of Power,Indian Railways,Gujarat,4347.02,4347.02,1003.97,20.4,2015-01-01,2017-04-20,2017-04-20,2015-10-28,16,8.1,1,2015_10
PAIM-1012,Project PAIM-1012 - Thermal Power Unit,Power & Renewable Energy,Ministry of Power,Indian Railways,Gujarat,4347.02,4483.94,2363.87,46.4,2015-01-01,2017-04-20,2018-03-22,2016-06-24,16,8.1,1,2016_06
PAIM-1012,Project PAIM-1012 - Thermal Power Unit,Power & Renewable Energy,Ministry of Power,Indian Railways,Gujarat,4347.02,4562.18,3955.22,77.1,2015-01-01,2017-04-20,2018-03-22,2017-02-19,16,8.1,1,2017_02
